order,family,genus,genus_species,habitat,biome,range,continent,Island-restricted,small-island-restricted,oceanic island-restricted,island-continent-both,activity time,foraging style,diet,specific diet,flocking,breed_syst,nest_type,nest_location,migrant,development,flight use,flight style,predator response,courtship display
accipitriformes,accipitridae,accipiter,accipiter_cooperii,forest,forest,temperate,north america,no,no,no,continent,diurnal,aerial,vert,"bird, mammal",.,pair,open,tree,some,altricial,capture,soaring,.,.
accipitriformes,accipitridae,accipiter,accipiter_gentilis,forest,forest edge,temperate,global,no,no,no,both,diurnal,sally,vert,vert,.,pair,open,tree,some,altricial,capture,soaring,.,.
accipitriformes,accipitridae,accipiter,accipiter_novaehollandiae,forest,rainforest,tropical,austro-pacific,no,no,no,both,diurnal,sally,vert,vert,.,pair,open,tree,no,altricial,capture,soaring,.,.
accipitriformes,accipitridae,accipiter,accipiter_striatus,forest,forest,temperate,north america,no,no,no,both,diurnal,aerial,vert,bird,.,pair,open,tree,some,altricial,capture,soaring,.,.
accipitriformes,accipitridae,accipiter,accipiter_superciliosus,forest,rainforest,tropical,south america,no,no,no,continent,diurnal,sally,vert,vert,.,.,.,.,no,altricial,capture,.,.,.
accipitriformes,accipitridae,aviceda,aviceda_subcristata,forest,rainforest,tropical,austro-pacific,no,no,no,both,diurnal,aerial,invert,invert,.,pair,open,tree,no,altricial,capture,soaring,.,.
accipitriformes,accipitridae,buteo,buteo_brachyurus,forest,rainforest,tropical,south america,no,no,no,both,diurnal,aerial,vert,bird,.,pair,open,tree,no,altricial,foraging,soaring,.,.
accipitriformes,accipitridae,buteo,buteo_jamaicensis,general,general,temperate,north america,no,no,no,both,diurnal,sally,vert,vert,.,pair,open,tree,some,altricial,capture,soaring,.,.
accipitriformes,accipitridae,buteo,buteo_lagopus,open,tundra,"arctic, temperate",north america,no,no,no,both,diurnal,sally,vert,mammal,.,pair,open,ledge,yes,altricial,capture,soaring,.,.
accipitriformes,accipitridae,buteo,buteo_lineatus,forest,forest,temperate,north america,no,no,no,continent,diurnal,aerial,invert,"invert, vert",.,pair,open,tree,some,altricial,capture,soaring,.,.
