numb,cat_owner,pers_cat_numb,order,within-order-clade,family,genus,species,genus_species,sex,body_mass,supracor_one,pectoralis_one,supracor_both,pectoralis_both,flight_one,flight_both,flight_one_body,flight_both_body,pect_supra_ratio,heart_mass,heart_body,month,year,elevation,country,department,age,fat,wing_chord,tail,ex_culmen
48303,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,251.4,0.75,10.05,1.5,20.1,10.8,21.6,0.042959427,0.085918854,13.4,NA,NA,october,2010,NA,us,florida,NA,NA,260,213,NA
48922,CHRISTINA_J._MAURICE,5,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,NA,276.4,0.7,11.8,1.4,23.6,12.5,25,0.045224313,0.090448625,16.85714286,NA,NA,NA,NA,NA,US,FLORIDA,no_bursa,none,NA,NA,NA
48304,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,male,278.2,0.95,22.41,1.9,44.82,23.36,46.72,0.083968368,0.167936736,23.58947368,NA,NA,december,2010,NA,us,florida,NA,NA,235,188,NA
48305,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,280.5,0.84,14.55,1.68,29.1,15.39,30.78,0.05486631,0.10973262,17.32142857,NA,NA,november,2010,NA,us,florida,NA,NA,264.5,220,NA
40917,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,male,298,0.9,26.9,1.8,53.8,27.8,55.6,0.093288591,0.186577181,29.88888889,NA,NA,march,1997,NA,us,florida,NA,NA,234,190,NA
48465,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,male,335,1.16,34.56,2.32,69.12,35.72,71.44,0.106626866,0.213253731,29.79310345,NA,NA,january,2010,NA,us,florida,NA,NA,242,197,NA
43033,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,340.6,1.3,21.5,2.6,43,22.8,45.6,0.066940693,0.133881386,16.53846154,NA,NA,november,2002,NA,us,florida,NA,NA,245,225,26.2
42761,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,male,365,1.5,38.5,3,77,40,80,0.109589041,0.219178082,25.66666667,NA,NA,january,2000,NA,us,florida,NA,NA,252,191,18
48268,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,366.8,0.12,22.16,0.24,44.32,22.28,44.56,0.060741549,0.121483097,NA,NA,NA,january,2011,NA,us,florida,NA,NA,270,234,NA
47817,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,423.1,1.7,27.1,3.4,54.2,28.8,57.6,0.068069014,0.136138029,15.94117647,NA,NA,december,2009,NA,us,florida,NA,NA,265,230,NA
48198,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,460.2,1.92,41.69,3.84,83.38,43.61,87.22,0.094763146,0.189526293,21.71354167,NA,NA,january,2011,NA,us,florida,NA,NA,253,208,NA
45835,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,479.4,1.8,39.8,3.6,79.6,41.6,83.2,0.086775136,0.173550271,22.11111111,NA,NA,february,2007,NA,us,florida,NA,NA,258,210,NA
41054,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,489,1.4,39.2,2.8,78.4,40.6,81.2,0.083026585,0.16605317,28,NA,NA,december,1998,NA,us,florida,NA,NA,270,218,NA
44239,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,493.7,2,42.1,4,84.2,44.1,88.2,0.089325501,0.178651003,21.05,NA,NA,february,2004,NA,us,florida,NA,NA,263,200,NA
41003,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,518,1.3,33.1,2.6,66.2,34.4,68.8,0.066409266,0.132818533,25.46153846,NA,NA,august,1999,NA,us,florida,NA,NA,269,224,NA
48309,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,523.7,1.17,45.16,2.34,90.32,46.33,92.66,0.088466679,0.176933359,38.5982906,NA,NA,november,2008,NA,us,florida,NA,NA,265,235,15.09
48055,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,531.8,1,33,2,66,34,68,0.06393381,0.127867619,33,NA,NA,january,1996,NA,us,florida,NA,NA,266,205,NA
47763,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,cooperii,accipiter_cooperii,female,560,0.8,43,1.6,86,43.8,87.6,0.078214286,0.156428571,53.75,NA,NA,december,2009,NA,us,florida,NA,NA,252,225,NA
40156,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,gentilis,accipiter_gentilis,male,636,3.3,65.7,6.6,131.4,69,138,0.108490566,0.216981132,19.90909091,NA,NA,june,1998,NA,us,vermont,NA,NA,308,227,NA
40173,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,imitator,accipiter_imitator,male,208,0.8,11,1.6,22,11.8,23.6,0.056730769,0.113461538,13.75,NA,NA,june,1998,NA,solomon_islands,isabel_prov.,NA,NA,195,159,NA
39543,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,novaehollandiae,accipiter_novaehollandiae,male,187,0.7,9.9,1.4,19.8,10.6,21.2,0.056684492,0.113368984,14.14285714,NA,NA,july,1997,NA,solomon_islands,isabel_prov.,NA,NA,NA,NA,NA
39572,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,novaehollandiae,accipiter_novaehollandiae,female,207,0.55,10.2,1.1,20.4,10.75,21.5,0.051932367,0.103864734,18.54545455,NA,NA,july,1997,NA,solomon_islands,isabel_prov.,NA,NA,NA,NA,NA
45166,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,male,82.8,0.3,7.8,0.6,15.6,8.1,16.2,0.097826087,0.195652174,26,NA,NA,february,2006,NA,us,florida,NA,NA,170,134,13
175040,CJS,752,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,male,92.5,0.314,9.146,0.628,18.292,9.46,18.92,0.10227027,0.204540541,29.12738854,1.062,0.011481081,june,2011,1746,peru,san_martin,NA,NA,NA,NA,NA
47771,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,110,0.4,7.9,0.8,15.8,8.3,16.6,0.075454545,0.150909091,19.75,NA,NA,november,2008,NA,us,florida,NA,NA,196,160,NA
48762,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,122,0.4,10.8,0.8,21.6,11.2,22.4,0.091803279,0.183606557,27,NA,NA,december,2010,NA,us,florida,NA,NA,199,161,17.85
48043,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,125.8,0.37,8.92,0.74,17.84,9.29,18.58,0.073847377,0.147694754,24.10810811,NA,NA,november,2009,NA,us,florida,NA,NA,200,144,18.6
47962,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,129.6,NA,5.9,NA,11.8,5.9,11.8,0.045524691,0.091049383,NA,NA,NA,november,2009,NA,us,florida,NA,NA,205,159,NA
48851,DAVID_W._STEADMAN,2814,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,139.4,0.4,15.6,0.8,31.2,16,32,0.114777618,0.229555237,39,NA,NA,NA,NA,NA,US,FLORIDA,bursa,trace,NA,NA,NA
48291,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,148,0.23,11.6,0.46,23.2,11.83,23.66,0.079932432,0.159864865,50.43478261,NA,NA,november,2010,NA,us,florida,NA,NA,203.9,169.5,12.4
41893,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,152,0.4,12,0.8,24,12.4,24.8,0.081578947,0.163157895,30,NA,NA,february,2000,NA,us,florida,NA,NA,204,167,17.1
176716,Jennifer_A._Clark,36,Accipitriformes,NA,Accipitridae,Accipiter,striatus,Accipiter_striatus,female,152.5,1.03,12.88,2.06,25.76,13.91,27.82,0.091213115,0.18242623,12.50485437,1.12,0.007344262,June,2012,1777,peru,Amazonas,no_bursa,light,NA,NA,NA
40598,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,157.4,0.6,16.1,1.2,32.2,16.7,33.4,0.106099111,0.212198221,26.83333333,NA,NA,november,1998,NA,us,florida,NA,NA,200,165,NA
40587,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,158,0.5,13.6,1,27.2,14.1,28.2,0.089240506,0.178481013,27.2,NA,NA,december,1998,NA,us,florida,NA,NA,206,171,NA
42741,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,173.7,0.7,17.9,1.4,35.8,18.6,37.2,0.107081174,0.214162349,25.57142857,NA,NA,january,2002,NA,us,florida,NA,NA,205,164,12
39860,NA,NA,Accipitriformes,NA,Accipitridae,accipiter,striatus,accipiter_striatus,female,176,0.5,18.3,1,36.6,18.8,37.6,0.106818182,0.213636364,36.6,NA,NA,november,1997,NA,us,florida,NA,NA,195,164,NA
175425,CJS,832,Accipitriformes,NA,Accipitridae,accipiter,superciliosus,accipiter_superciliosus,male,87.38,0.216,7.888,0.432,15.776,8.104,16.208,0.092744335,0.18548867,36.51851852,1.027,0.011753262,june,2011,1226,peru,san_martin,NA,NA,NA,NA,NA
41459,NA,NA,Accipitriformes,NA,Accipitridae,aviceda,subcristata,aviceda_subcristata,male,280,0.7,18.4,1.4,36.8,19.1,38.2,0.068214286,0.136428571,26.28571429,NA,NA,june,2000,NA,papua_new_guinea,western_prov.,NA,NA,340,190,24
39565,NA,NA,Accipitriformes,NA,Accipitridae,aviceda,subcristata,aviceda_subcristata,female,303,0.65,15.3,1.3,30.6,15.95,31.9,0.052640264,0.105280528,23.53846154,NA,NA,july,1997,NA,solomon_islands,isabel_prov.,NA,NA,NA,NA,NA
39457,NA,NA,Accipitriformes,NA,Accipitridae,aviceda,subcristata,aviceda_subcristata,female,319,NA,21.2,NA,42.4,21.2,42.4,0.06645768,0.132915361,NA,NA,NA,july,1997,NA,solomon_islands,isabel_prov.,NA,NA,312,199,21
39439,NA,NA,Accipitriformes,NA,Accipitridae,aviceda,subcristata,aviceda_subcristata,male,356,NA,22.2,NA,44.4,22.2,44.4,0.062359551,0.124719101,NA,NA,NA,july,1997,NA,solomon_islands,isabel_prov.,NA,NA,313,193,21
47003,NA,NA,Accipitriformes,NA,Accipitridae,buteo,brachyurus,buteo_brachyurus,female,482,1.1,25.5,2.2,51,26.6,53.2,0.055186722,0.110373444,23.18181818,NA,NA,february,2009,NA,us,florida,NA,NA,314,179,NA
