institution,number,family,genus,species,cranium.length,rostrum.length,rostrum.width,rostrum.depth,coracoid,sternum.length,keel.length,keel.depth,humerus,ulna,carpometacarpus,femur,tibiotarsus,tarsometatarsus,island,landbird.spp.richness,island.area,elevation,nearest.continent,isolation,ecosystem.richness,raptor.spp,columbid.spp,kingfisher.spp,mammal.predators,location.1,location.2,location.3,collector,age,mass,wing.ch.,tail,subspecies,sex,other
NMNH,607360,Alcedinidae,Actenoides,Actenoides_lindsayi,NA,NA,NA,NA,26.87,20.27,25.32,9.33,36.85,NA,NA,23.61,NA,NA,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,Cagayan Prov.; Barrio Via; Sitio Hot Springs,C.A. Ross,NA,80,NA,NA,lindsayi,female,NA
NMNH,613072,Alcedinidae,Actenoides,Actenoides_lindsayi,29.1,40.34,14.89,9.15,26.59,20.72,25.66,9.15,35.73,44.26,17.95,23.65,37.02,17.93,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,Cagayan Prov.; Barrio Via; Sitio Hot Springs,R.W. Dickerman,NA,81,NA,NA,lindsayi,female,NA
NMNH,607359,Alcedinidae,Actenoides,Actenoides_lindsayi,NA,NA,NA,NA,26.69,20.67,25.78,9.83,36.07,NA,NA,23.33,NA,NA,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,Cagayan Prov.; Barrio Via; Sitio Hot Springs,R.S. Kennedy,NA,73,NA,NA,lindsayi,male,NA
NMNH,607361,Alcedinidae,Actenoides,Actenoides_lindsayi,NA,NA,NA,NA,26.33,20.51,25.53,10.47,35.38,44.49,NA,22.61,36.99,18.17,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,Cagayan: Barrio Santa Margarita,R.W. Dickerman,NA,88,NA,NA,lindsayi,male,NA
NMNH,607356,Alcedinidae,Actenoides,Actenoides_lindsayi,NA,NA,NA,NA,26.09,20.57,25.04,9.66,35.18,NA,NA,22.8,NA,NA,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,Cagayan Prov.; Barrio Via; Sitio Hot Springs,R.W. Dickerman,NA,NA,NA,NA,lindsayi,male,NA
NMNH,613699,Alcedinidae,Actenoides,Actenoides_lindsayi,28.55,42.25,14.04,9.39,26.01,19.76,24.52,8.93,34.53,42.67,17.38,23.06,35.61,17.42,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,Camarines Sur Prov.: Mt. Isarog; Naga,L.R. Heaney,adult,70,NA,NA,NA,NA,NA
NMNH,613698,Alcedinidae,Actenoides,Actenoides_lindsayi,28.79,44.04,15.63,9.85,27.01,20.01,24.99,9.59,36.24,45.26,18.21,23.51,36.26,17.86,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,Camarines Sur Prov.: Mt. Isarog; Naga,L.R. Heaney,adult,92,NA,NA,NA,NA,NA
KU,113068,Alcedinidae,Actenoides,Actenoides_lindsayi,28.34,37.16,14.88,9.78,26.67,20.84,26.46,9.85,35.28,45.15,17.63,22.73,35.84,17.23,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Prov. Camarines Norte,Luzon Island,C.H. Oliveras,NA,79,NA,NA,NA,male,NA
KU,992393,Alcedinidae,Actenoides,Actenoides_lindsayi,29.41,46.02,15.71,10.28,26.99,21.23,27.22,10.56,35.45,44.43,17.4,23.73,35.07,16.74,Panay,227,12011,2049,NA,NA,NA,22,18,11,yes,Philippines,Panay Island,Antique Prov.; Municipality San Remigio,C.H. Oliveras,NA,80,NA,NA,NA,NA,NA
KU,116930,Alcedinidae,Alcedo,Alcedo_argentata,20.01,40.64,8.38,5.34,17.35,12.57,17.21,6.41,20.85,26.61,10.1,14.03,23.48,10.05,Bohol,193,3821,865,NA,NA,NA,18,15,9,yes,Philippines,Bohol Island,Bohol Prov.; Sierra Bullones Municipality; Rajah Sikatuna Protected Landscape,C.H. Oliveras,NA,14.75,NA,NA,NA,female,NA
